click_id,click_time,speed_probability,batch_probability,true_label,latency_ms
8030686f473bd0ddf09d1f59f309b259,2017-11-06T16:21:51.000Z,0.995082,0.9638659954071044,1,3286.928
b5f0af96e9010b249d208f37a06a1be0,2017-11-06T16:21:51.000Z,0.995082,0.9635350108146667,1,3284.535
d56af1ad2422a83833891444d75ffd82,2017-11-06T16:21:49.000Z,0.995082,0.9611039757728576,1,3282.12
ea590608fe35310003079d18b3822d52,2017-11-06T16:21:41.000Z,0.995082,0.9962679743766784,1,3279.729
5b86f1d41ad9622c2907afa4f5a63ee3,2017-11-06T16:21:41.000Z,0.995082,0.9962570071220398,1,3277.258
eef29a9013ea282a1198939f40e64fbe,2017-11-06T16:21:37.000Z,0.995082,0.9962570071220398,1,3274.812
a7b6099e4182df1a1ff7312bf1f7356e,2017-11-06T16:21:36.000Z,0.995082,0.9965630173683168,1,3272.347
42ce5eeed0edda1269ff0f37dffc8405,2017-11-06T16:21:36.000Z,0.992351,0.9810810089111328,1,3267.594
6a9dd0b30884b0ed66a7672dc497bed1,2017-11-06T16:21:35.000Z,0.995082,0.9637830257415771,1,3255.391
ccfdc4a3951e10967cd3acd39696a2bc,2017-11-06T16:21:35.000Z,0.995082,0.9677159786224364,1,3250.286
be6fe04db5df5299e078444491e3bb90,2017-11-06T16:21:35.000Z,0.995082,0.9654539823532104,1,3252.96
e45f8b4660bdf493d1d4f08058f2b093,2017-11-06T16:21:35.000Z,0.995082,0.962356984615326,1,3257.849
6d7c47f44bea2ed2cb5e5ef007ea1204,2017-11-06T16:21:35.000Z,0.995082,0.9618229866027832,1,3260.361
61e037ecece1ab63ff62cf10c406d8d4,2017-11-06T16:21:35.000Z,0.995082,0.9635350108146667,1,3262.78
8043e4687b707f33cbf4c018d00393f2,2017-11-06T16:21:35.000Z,0.995082,0.9634529948234558,1,3265.238
94eb892729fac34d0b95571c9c0d372c,2017-11-06T16:21:34.000Z,0.995082,0.9832820296287536,1,3245.461
2484899af69b06b2686cf423c84a5a3d,2017-11-06T16:21:33.000Z,0.995082,0.9831969738006592,1,3243.045
61d3070edea13d56769045fd96bb2252,2017-11-06T16:21:32.000Z,0.995082,0.9831969738006592,1,3240.676
2a721aa9584204c18d89a1c472acda71,2017-11-06T16:21:32.000Z,0.995082,0.9856659770011902,1,3238.255
