click_id,campaign_id,publisher_id,is_fraud,batch_fraud_probability,ip_clicks_1m,ip_clicks_5m,ip_clicks_1h,device_clicks_1m,device_clicks_5m,device_clicks_1h,ip_fingerprint_entropy_5m,ip_inter_click_gap_seconds,click_to_install_delta_seconds,campaign_conversion_rate,publisher_conversion_rate
643cfe68ef69d54bf769a3c9777f82aa,379,379,0,0.5089790225028992,1.0,1.0,2.0,4.0,13.0,47.0,0.0,494.0,0.0,0.000658906215681968,0.000658906215681968
d90f19b0c028c58b5339f1fc9cd1fbc0,379,379,0,0.5089790225028992,1.0,1.0,2.0,2.0,6.0,75.0,0.0,435.0,0.0,0.000658906215681968,0.000658906215681968
b07b787e39a7b312488d16c0a154e722,379,379,1,0.5309820175170898,1.0,1.0,2.0,3.0,7.0,78.0,0.0,1993.0,0.0,0.000658906215681968,0.000658906215681968
a93be1e7b4b316a8fe5b1727292fbb96,379,379,0,0.5309820175170898,1.0,1.0,2.0,3.0,4.0,83.0,0.0,1980.0,0.0,0.000658906215681968,0.000658906215681968
b3d36175b0f8c37c2e87f39a10d7e53f,379,379,0,0.5309820175170898,1.0,1.0,2.0,2.0,5.0,79.0,0.0,540.0,0.0,0.000658906215681968,0.000658906215681968
24a6b178dddb87b24c2a6c68bdf94e21,379,379,0,0.5309820175170898,1.0,1.0,2.0,32.0,46.0,117.0,0.0,1003.0,0.0,0.000658906215681968,0.000658906215681968
5fb81e4737122b7ef639b411407eff6a,379,379,0,0.5309820175170898,1.0,1.0,2.0,24.0,99.0,199.0,0.0,1243.0,0.0,0.000658906215681968,0.000658906215681968
c2e9cc9eeb04c8ddc7d8d74a9f6e0dd2,379,379,0,0.5309820175170898,1.0,1.0,2.0,25.0,95.0,213.0,0.0,3416.0,0.0,0.000658906215681968,0.000658906215681968
7ec5ba1e5f892c8e4230ff6fe860a1cb,379,379,0,0.5309820175170898,1.0,1.0,2.0,23.0,99.0,239.0,0.0,3111.0,0.0,0.000658906215681968,0.000658906215681968
433544b2d09cb7bcec68f4f834c8eb22,379,379,1,0.5309820175170898,1.0,1.0,2.0,18.0,104.0,254.0,0.0,1655.0,0.0,0.000658906215681968,0.000658906215681968
697267a896b8b99a8307abd89006b56f,379,379,0,0.5089790225028992,1.0,1.0,2.0,26.0,109.0,275.0,0.0,412.0,0.0,0.000658906215681968,0.000658906215681968
5664a9a7d835351175e5231a9d42132e,379,379,0,0.5309820175170898,1.0,1.0,2.0,26.0,110.0,278.0,0.0,2390.0,0.0,0.000658906215681968,0.000658906215681968
65c27a6bad5491b605216239c9c55ddb,379,379,0,0.5309820175170898,1.0,1.0,2.0,20.0,108.0,292.0,0.0,610.0,0.0,0.000658906215681968,0.000658906215681968
